STR_LANGUAGE                                        {中文 (简体）}
STR_LANGCODE                                        {\X09}
STR_LANG                                            {语言}
STR_LANGDESC                                        {选择一种语言}
STR_DISABLE                                         {禁用}
STR_ENABLE                                          {启用}
STR_NO                                              {无}
STR_SYSTEM                                          {系统}
STR_SELECTOR                                        {选择}
STR_LV1PATCH                                        {LV1补丁}
STR_DTC                                             {DEX / CEX}
STR_UTLS                                            {公用事业}
STR_EIDRK                                           {你想甩掉你EID根密钥，然后重新启动吗？\ n \ n此eid_root_key将在/ dev_hdd0 /游戏/ RBGTLBOX2 / USRDIR创建}
STR_SCRSHOT                                         {保存截图}
STR_DONE                                            {搞定！}
STR_SHTDWN                                          {关闭...}
STR_TRYRESTART                                      {尝试重新启动...}
STR_NOTFOUND                                        {未找到！}
STR_PETBOOTINST                                     {你想在VFLASH / NAND地区5安装Petitboot？}
STR_PETBOOTOK                                       {Petitboot已安装..享受otheros的。}
STR_PETBOOTERROR                                    {错误：无法找到Petitboot..VFLASH检测\ n \ n请把名为[dtbimage.ps3.bin] USB设备上的文件，然后再试一次。}
STR_RESIZE5                                         {你想调整VFLASH / NAND区5允许otheros的？}
STR_RESIZE5OK                                       {成功：你的PS3需要重新启动使更改生效。}
STR_RESIZE5ERROR                                    {FAILED：调整VFLASH /非指定地区5未完成。}
STR_FLASHOK                                         {成功：你的PS3需要重新启动使更改生效。}
STR_FLASHERROR                                      {失败！}
STR_GAMEOSFLG                                       {你想设置GameOS引导标志？}
STR_GAMEOSFLGOK                                     {标志已设置。}
STR_SYSINF                                          {信息系统}
STR_SYSINFDESC                                      {显示有关PS3™系统的信息。}
STR_QUIT                                            {退出}
STR_QUITDESC1                                       {退出}
STR_QUITDESC2                                       {并返回XMB™屏幕}
STR_RESTSYS                                         {重新启动系统}
STR_RESTSYSDESC1                                    {关闭}
STR_RESTSYSDESC2                                    {并重新启动PLAYSTATION®3系统}
STR_RESTSYS_SUB1                                    {软（LV2重启专用）}
STR_RESTSYS_SUB2                                    {全（开/关周期）}
STR_BOOTOOS                                         {引导otheros的}
STR_BOOTOOSDESC                                     {选择LV1补丁和重启进入otheros的}
STR_BOOTOOS_SUB1                                    {启动（LV1补丁全部应用）}
STR_BOOTOOS_SUB2                                    {启动（LV1补丁：使用电流）}
STR_TRNOFF                                          {关闭系统}
STR_TRNOFFDESC                                      {关闭您的PLAYSTATION®3系统}
STR_QA                                              {切换QA标志}
STR_QADESC                                          {启用或禁用QA标志功能。}
STR_NOTAV                                           {不可用}
STR_TOGREC                                          {切换恢复模式}
STR_TOGRECDESC                                      {启用或下次重新启动禁用恢复模式。}
STR_TOGPM                                           {切换产品模式}
STR_TOGPMDESC                                       {启用或禁用产品模式（FSM）。}
STR_LOADLV2                                         {负载LV2内核}
STR_LOADLV2DESC                                     {负载lv2_kernel.self。[KERNEL_NAME来自USB或/ dev_hdd0。}
STR_BUT                                             {按键分配}
STR_BUTDESC                                         {设置的按钮用于接受/输入和取消/返回键。}
STR_CIRCLE                                          {圈为[接受]}
STR_CROSS                                           {叉[接受]}
STR_XREG                                            {备份/恢复xRegistry}
STR_XREGDESC                                        {备份或还原从USB PS3的系统设置。}
STR_BACKUP                                          {备份}
STR_RESTORE                                         {恢复}
STR_RESIZEVFLASH                                    {调整大小VFLASH / NAND地区}
STR_RESIZEVFLASHDESC                                {调整大小VFLASH / NAND地区5允许otheros的。}
STR_INSTPETBOOT                                     {安装petitboot}
STR_INSTPETBOOTDESC                                 {从USB安装Petitboot到VFLASH / NAND地区5。}
STR_GAMEOSBOOTFLG                                   {设GameOS引导标志}
STR_GAMEOSBOOTFLGDESC                               {如果安装otheros的修复问题加载PS2游戏。}
STR_PKG                                             {创建\ x22Packages \ X22文件夹}
STR_PKGDESC                                         {创建/ dev_hdd0 /包文件夹。}
STR_SAVLV1                                          {出口管理程序LV1内存}
STR_SAVLV1DESC                                      {保存LV1存储器到文件。}
STR_SAVLV2                                          {出口GameOS LV2内存}
STR_SAVLV2DESC                                      {保存LV2存储器到文件。}
STR_SAVFLASH                                        {导出Flash到文件}
STR_SAVFLASHDESC                                    {备份当前NOR / NAND闪存/ dev_usb000。}
STR_SAVEIDRK                                        {转储EID根密钥}
