STR_LANGUAGE				{Deutsch}
STR_LANGCODE				{\x00}
STR_LANG					{Sprache}
STR_LANGDESC				{Wähle deine Sprache}
STR_DISABLE					{Deaktiviert}
STR_ENABLE					{Aktiviert}
STR_NO						{Nein}
STR_SYSTEM					{System}
STR_SELECTOR				{Selector}
STR_LV1PATCH				{LV1 Patches}
STR_DTC						{DEX/CEX}
STR_UTLS					{Utilities}
STR_EIDRK					{Möchtest Du den eid_root_key sichern und neustarten?\n\nDer eid_root_key wird unter \"/dev_hdd0/game/RBGTLBOX2/USRDIR\" gesichert.}
STR_SCRSHOT					{Speicher Screenshot in}
STR_DONE					{Fertig!}
STR_SHTDWN					{Herunterfahren...}
STR_TRYRESTART				{Versuche neuzustarten...}
STR_NOTFOUND				{wurde nicht gefunden!}
STR_PETBOOTINST				{Möchtest du Petitboot im VFLASH Region5 installieren??}
STR_PETBOOTOK				{Petitboot wurde installiert.. Viel Spaß mit OtherOS.}
STR_PETBOOTERROR			{FEHLER: Petitboot konnte nicht gefunden werden...\n\nBitte kopiere die Datei [dtbimage.ps3.bin] auf USB und versuch es erneut.}
STR_RESIZE5					{Möchtest du die VFLASH Region5 Größe ändern für OtherOS?}
STR_RESIZE5OK				{ERFOLGREICH: Die PS3 muss jetzt neugestartet werden für den Abschluss des Vorgangs.}
STR_RESIZE5ERROR			{Fehlgeschlagen: Die Größe des VFLASH Region5 konnte nicht geändert werden.}
STR_FLASHOK					{ERFOLGREICH: Die PS3 muss jetzt neugestartet werden für den Abschluss des Vorgangs.}
STR_FLASHERROR				{Fehlgeschlagen!!!}
STR_GAMEOSFLG				{Möchtest du eine GameOS boot flag setzen?}
STR_GAMEOSFLGOK				{Flag Datei ist bereits gesetzt.}
STR_SYSINF					{System Informationen}
STR_SYSINFDESC				{Zeigt Informationen über dein PS3\xE2\x84\xA2 System an.}
STR_QUIT					{Beenden}
STR_QUITDESC1				{Beende die}
STR_QUITDESC2				{und kehre zum XMB\xE2\x84\xA2 zurück.}
STR_RESTSYS					{System neustarten}
STR_RESTSYSDESC1			{Beende die}
STR_RESTSYSDESC2			{und starte dein PLAYSTATION\xC2\xAE\x33 System neu.}
STR_RESTSYS_SUB1			{Soft (Nur LV2 Reboot)}
STR_RESTSYS_SUB2			{Full  (An/Aus Zyklus)}
STR_BOOTOOS					{Lade OtherOS}
STR_BOOTOOSDESC				{Wähle LV1 Patches und lade OtherOS.}
STR_BOOTOOS_SUB1			{LV1 Patches ALLE laden}
STR_BOOTOOS_SUB2			{LV1 Patches AKTUELLE laden}
STR_TRNOFF					{System ausschalten}
STR_TRNOFFDESC				{Herunterfahren des PLAYSTATION\xC2\xAE\x33 Systems.}
STR_QA						{Toggle QA Flag}
STR_QADESC					{Aktiviere oder deaktiviere QA Flag Funktionen.}
STR_NOTAV					{Nicht verfügbar}
STR_TOGREC					{Toggle Recovery Mode}
STR_TOGRECDESC				{Aktiviere oder deaktiviere Recovery Mode bei Neustart.}
STR_TOGPM					{Toggle Product Mode}
STR_TOGPMDESC				{Aktiviere oder deaktiviere FSM (Factory Service Mode).}
STR_LOADLV2					{Lade LV2 Kernel}
STR_LOADLV2DESC				{Lade lv2_kernel.self.[KERNEL_NAME] von USB oder /dev_hdd0.}
STR_BUT						{Tastenbelegung}
STR_BUTDESC					{Tastenbelegung für [Eingabe/Bestätigen] und [Abbrechen/Zurück] festlegen.}
STR_CIRCLE					{O ist [Bestätigen]}
STR_CROSS					{X ist [Bestätigen]}
STR_XREG					{Sicherung/Wiederherstellung der xRegistry}
STR_XREGDESC				{Sichere oder stelle die PS3 System Einstellungen von USB wieder her.}
STR_BACKUP					{Sichern}
STR_RESTORE					{Wiederherstellen}
STR_RESIZEVFLASH			{Erweitere VFLASH/NAND Regionen}
