STR_LANGUAGE				{Français}
STR_LANGCODE				{\x03}
STR_LANG					{Langue}
STR_LANGDESC				{Choisissez une langue}
STR_DISABLE					{Inactif}
STR_ENABLE					{Actif}
STR_NO						{Non}
STR_SYSTEM					{Système}
STR_SELECTOR				{Sélecteur}
STR_LV1PATCH				{Patches LV1}
STR_DTC						{DEX/CEX}
STR_UTLS					{Utilitaires}
STR_EIDRK					{Voulez-vous sauvegarder votre eid_root_key et redémarrer?\n\nVotre eid_root_key sera créée dans /dev_hdd0/game/RBGTLBOX2/USRDIR}
STR_SCRSHOT					{Enregistrement de la capture d'écran dans}
STR_DONE					{Terminé!}
STR_SHTDWN					{Éteindre...}
STR_TRYRESTART				{Essayez de redémarrer ...}
STR_NOTFOUND				{n'a pas été trouvé!}
STR_PETBOOTINST				{Voulez-vous installer Petitboot sur la Region 5 du VFLASH/NAND?}
STR_PETBOOTOK				{Petitboot a été installé.. Profitez de l'OtherOS.}
STR_PETBOOTERROR			{ERREUR: Impossible de trouver le petitboot..VFLASH Détecté.\n\nPlacez un fichier nommé [dtbimage.ps3.bin] sur le périphérique USB et essayez à nouveau s'il vous plaît.}
STR_RESIZE5					{Voulez-vous redimensionner la Region 5 du VFLASH/NAND pour autoriser l'OtherOS ? }
STR_RESIZE5OK				{SUCCÈS: Votre PS3 a besoin de redémarrer pour que les modifications prennent effet.}
STR_RESIZE5ERROR			{ÉCHOUÉ: le redimensionnement de la Région 5 du VFLASH/NAND n'est pas terminé.}
STR_FLASHOK					{SUCCÈS: Votre PS3 a besoin de redémarrer pour que les modifications prennent effet.}
STR_FLASHERROR				{ÉCHOUÉ!!!}
STR_GAMEOSFLG				{Voulez-vous activer le GameOS boot flag?}
STR_GAMEOSFLGOK				{Le Flag est déjà activé.}
STR_SYSINF					{Information Système}
STR_SYSINFDESC				{Afficher les informations de votre système PS3™.}
STR_QUIT					{Quitter}
STR_QUITDESC1				{Quitter la}
STR_QUITDESC2				{et revenir au XMB™}
STR_RESTSYS					{Redémarrer le système}
STR_RESTSYSDESC1			{Fermez la}
STR_RESTSYSDESC2			{et redémarrez votre Système PLAYSTATION® 3}
STR_RESTSYS_SUB1			{Soft (Redémarrage LV2 Uniquement)}
STR_RESTSYS_SUB2			{Full (Redémarrage Complet)}
STR_BOOTOOS					{Démarrage de l'OtherOS}
STR_BOOTOOSDESC				{Sélectionne les correctifs LV1 et redémarre en OtherOS}
STR_BOOTOOS_SUB1			{Démarrage (patches LV1: Appliquer tout)}
STR_BOOTOOS_SUB2			{Démarrage (patches LV1: utilisation actuelle)}
STR_TRNOFF					{Eteindre le système}
STR_TRNOFFDESC				{Eteignez votre Système PLAYSTATION® 3}
STR_QA						{Activer le QA Flag}
STR_QADESC					{Active ou désactive les fonctions du QA flag.}
STR_NOTAV					{Indisponible}
STR_TOGREC					{Basculer en Mode Recovery}
STR_TOGRECDESC				{Active ou désactive le mode recovery au prochain redémarrage.}
STR_TOGPM					{Basculer en Product Mode}
STR_TOGPMDESC				{Active ou désactive le product mode (FSM).}
STR_LOADLV2					{Charger le LV2 Kernel}
STR_LOADLV2DESC				{Charge le lv2_kernel.self.[KERNEL_NAME] à partir de l'USB ou de /dev_hdd0.}
STR_BUT						{Affectation des boutons}
STR_BUTDESC					{Définit les boutons utilisés pour Accepter/Entrée et Annuler/Retour.}
STR_CIRCLE					{Rond pour [Valider]}
STR_CROSS					{Croix pour [Valider]}
STR_XREG					{Sauvegarde/Restaure le xRegistry}
STR_XREGDESC				{Sauvegarde ou restaure les paramètres du système PS3 à partir de l'USB.}
STR_BACKUP					{Sauvegarder}
STR_RESTORE					{Restaurer}
STR_RESIZEVFLASH			{Redimensionner la Regions VFLASH/NAND}
STR_RESIZEVFLASHDESC		{Redimensionne la Régions 5 du VFLASH/NAND pour activer l'OtherOS.}
STR_INSTPETBOOT				{Installer le petitboot}
STR_INSTPETBOOTDESC			{Installe le Petitboot dans la Regions 5 du VFLASH/NAND à partir de l'USB.}
STR_GAMEOSBOOTFLG			{Activer GameOS Boot Flag}
STR_GAMEOSBOOTFLGDESC		{Fixe le problème de chargement des titres PS2 si l'OtherOS est installé.}
STR_PKG						{Créer le Dossier \x22Packages\x22}
STR_PKGDESC					{Crée le dossier /dev_hdd0/packages.}
STR_SAVLV1					{Export de la mémoire Hypervisor LV1}
