STR_LANGUAGE				{Italiano}
STR_LANGCODE				{\x04}
STR_LANG					{Linguaggio}
STR_LANGDESC				{Scegli un linguaggio}
STR_DISABLE					{Disabilitato}
STR_ENABLE					{Abilitato}
STR_NO						{No}
STR_SYSTEM					{Sistema}
STR_SELECTOR				{Selector}
STR_LV1PATCH				{LV1 Patches}
STR_DTC						{DEX/CEX}
STR_UTLS					{Utilities}
STR_EIDRK					{VUOI effettuare il dump della tua eid root key e riavviare?\n\nLa eid_root_key verra' creata in /dev_hdd0/game/RBGTLBOX2/USRDIR}
STR_SCRSHOT					{Salva lo screenshot su}
STR_DONE					{FATTO!}
STR_SHTDWN					{Spegnimento in corso...}
STR_TRYRESTART				{Riavvio in corso...}
STR_NOTFOUND				{Non e' stato trovato!}
STR_PETBOOTINST				{Volete installare il petitboot su VFLASH/NAND in Region 5?}
STR_PETBOOTOK				{Il Petitboot e' stato installato.. Godetevi l' OtherOS.}
STR_PETBOOTERROR			{ERRORE: Non e' stato possibile trovare il Petitboot..VFLASH Rilevato.\n\nPer favore inserire il file [dtbimage.ps3.bin] su un dispositivo USB e riprovare.}
STR_RESIZE5					{Vuoi ridimensionare il VFLASH/NAND Region 5 che permette l'avvio dell' OtherOS?}
STR_RESIZE5OK				{SUCCESSO: La tua PS3 deve essere riavviata affinche' le modifiche abbiano effetto.}
STR_RESIZE5ERROR			{FALLITO: il ridimensionamento della VFLASH/NAND Region 5 non e' stata completata.}
STR_FLASHOK					{SUCCESSO: La tua PS3 deve essere riavviata per rendere effettive le modifiche.}
STR_FLASHERROR				{FALLITO!!!}
STR_GAMEOSFLG				{Vuoi effettuare il GameOS boot flag?}
STR_GAMEOSFLGOK				{Il Flag e' gia' settato.}
STR_SYSINF					{Informazioni di sistema}
STR_SYSINFDESC				{Visualizza le informazioni del sistema PS3™ .}
STR_QUIT					{Esci}
STR_QUITDESC1				{Chiude}
STR_QUITDESC2				{e ritorna alla XMB™ }
STR_RESTSYS					{Riavvia il Sistema}
STR_RESTSYSDESC1			{Chiude il}
STR_RESTSYSDESC2			{e riavvia la tua PLAYSTATION® 3 }
STR_RESTSYS_SUB1			{Soft (Riavvia solo il LV2)}
STR_RESTSYS_SUB2			{Full (On/Off effettua il riavvio completo)}
STR_BOOTOOS					{Avvia l' OtherOS}
STR_BOOTOOSDESC				{Seleziona la patch del LV1 e riavvia l'OtherOS}
STR_BOOTOOS_SUB1			{Boot (Patch LV1: Applicate a  tutti)}
STR_BOOTOOS_SUB2			{Boot (Patch LV1: Utilizzate attualmente)}
STR_TRNOFF					{Spegni il Sistema}
STR_TRNOFFDESC				{Spegne il sistema PLAYSTATION® 3 }
STR_QA						{Abilita le QA Flag}
STR_QADESC					{Abilita o disabilita la funzione QA flag .}
STR_NOTAV					{Non Disponibile}
STR_TOGREC					{Toggle Recovery Mode}
STR_TOGRECDESC				{Abilita o disabilita la modalita' recovery al prossimo riavvio.}
STR_TOGPM					{Toggle Product Mode}
STR_TOGPMDESC				{Abilita' o disabilita il product mode (Factory Service Mode).}
STR_LOADLV2					{Carica il Kernel LV2 }
STR_LOADLV2DESC				{Carica il lv2_kernel.self.[KERNEL_NAME] da USB o /dev_hdd0.}
