STR_LANGUAGE                                        {中文（繁體）}
STR_LANGCODE                                        {\x0A}
STR_LANG                                            {語言}
STR_LANGDESC                                        {選擇一種語言}
STR_DISABLE                                         {禁用}
STR_ENABLE                                          {啟用}
STR_NO                                              {無}
STR_SYSTEM                                          {系統}
STR_SELECTOR                                        {選擇}
STR_LV1PATCH                                        {LV1補丁}
STR_DTC                                             {DEX / CEX}
STR_UTLS                                            {公用事業}
STR_EIDRK                                           {你想甩掉你EID根密鑰，然後重新啟動嗎？\ n \ n此eid_root_key將在/ dev_hdd0 /遊戲/ RBGTLBOX2 / USRDIR創建}
STR_SCRSHOT                                         {保存截圖}
STR_DONE                                            {搞定！ }
STR_SHTDWN                                          {關閉...}
STR_TRYRESTART                                      {嘗試重新啟動...}
STR_NOTFOUND                                        {未找到！ }
STR_PETBOOTINST                                     {你想在VFLASH / NAND地區5安裝Petitboot？ }
STR_PETBOOTOK                                       {Petitboot已安裝..享受otheros的。 }
STR_PETBOOTERROR                                    {錯誤：無法找到Petitboot..VFLASH檢測\ n \ n請把名為[dtbimage.ps3.bin] USB設備上的文件，然後再試一次。 }
STR_RESIZE5                                         {你想調整VFLASH / NAND區5允許otheros的？ }
STR_RESIZE5OK                                       {成功：你的PS3需要重新啟動使更改生效。 }
STR_RESIZE5ERROR                                    {FAILED：調整VFLASH /非指定地區5未完成。 }
STR_FLASHOK                                         {成功：你的PS3需要重新啟動使更改生效。 }
STR_FLASHERROR                                      {失敗！ }
STR_GAMEOSFLG                                       {你想設置GameOS引導標誌？ }
STR_GAMEOSFLGOK                                     {標誌已設置。 }
STR_SYSINF                                          {信息系統}
STR_SYSINFDESC                                      {顯示有關PS3™系統的信息。 }
STR_QUIT                                            {退出}
STR_QUITDESC1                                       {退出}
STR_QUITDESC2                                       {並返回XMB™屏幕}
STR_RESTSYS                                         {重新啟動系統}
STR_RESTSYSDESC1                                    {關閉}
STR_RESTSYSDESC2                                    {並重新啟動PLAYSTATION®3系統}
STR_RESTSYS_SUB1                                    {軟（LV2重啟專用）}
STR_RESTSYS_SUB2                                    {全（開/關週期）}
STR_BOOTOOS                                         {引導otheros的}
STR_BOOTOOSDESC                                     {選擇LV1補丁和重啟進入otheros的}
STR_BOOTOOS_SUB1                                    {啟動（LV1補丁全部應用）}
STR_BOOTOOS_SUB2                                    {啟動（LV1補丁：使用電流）}
STR_TRNOFF                                          {關閉系統}
STR_TRNOFFDESC                                      {關閉您的PLAYSTATION®3系統}
STR_QA                                              {切換QA標誌}
STR_QADESC                                          {啟用或禁用QA標誌功能。 }
STR_NOTAV                                           {不可用}
STR_TOGREC                                          {切換恢復模式}
STR_TOGRECDESC                                      {啟用或下次重新啟動禁用恢復模式。 }
STR_TOGPM                                           {切換產品模式}
STR_TOGPMDESC                                       {啟用或禁用產品模式（FSM）。 }
STR_LOADLV2                                         {負載LV2內核}
STR_LOADLV2DESC                                     {負載lv2_kernel.self。 [KERNEL_NAME來自USB或/ dev_hdd0。 }
STR_BUT                                             {按鍵分配}
STR_BUTDESC                                         {設置的按鈕用於接受/輸入和取消/返回鍵。 }
STR_CIRCLE                                          {圈為[接受]}
STR_CROSS                                           {叉[接受]}
STR_XREG                                            {備份/恢復xRegistry}
STR_XREGDESC                                        {備份或還原從USB PS3的系統設置。 }
STR_BACKUP                                          {備份}
STR_RESTORE                                         {恢復}
STR_RESIZEVFLASH                                    {調整大小VFLASH / NAND地區}
STR_RESIZEVFLASHDESC                                {調整大小VFLASH / NAND地區5允許otheros的。 }
STR_INSTPETBOOT                                     {安裝petitboot}
STR_INSTPETBOOTDESC                                 {從USB安裝Petitboot到VFLASH / NAND地區5。 }
STR_GAMEOSBOOTFLG                                   {設GameOS引導標誌}
STR_GAMEOSBOOTFLGDESC                               {如果安裝otheros的修復問題加載PS2遊戲。 }
STR_PKG                                             {創建\x22Packages\x22文件夾}
STR_PKGDESC                                         {創建/ dev_hdd0 /包文件夾。 }
STR_SAVLV1                                          {出口管理程序LV1內存}
STR_SAVLV1DESC                                      {保存LV1存儲器到文件。 }
STR_SAVLV2                                          {出口GameOS LV2內存}
STR_SAVLV2DESC                                      {保存LV2存儲器到文件。 }
STR_SAVFLASH                                        {導出Flash到文件}
STR_SAVFLASHDESC                                    {備份當前NOR / NAND閃存/ dev_usb000。 }
STR_SAVEIDRK                                        {轉儲EID根密鑰}
STR_SAVEIDRKDESC                                    {在dev_hdd0 /遊戲/ RBGTLBOX2 / USRDIR / eid_root_key轉儲EID根密鑰。 }
STR_PS3ID                                           {更改活動PS3ID}
STR_PS3IDDESC                                       {欺騙國內流離失所者LV2的記憶。 }
STR_USE                                             {使用}
STR_SM                                              {系統模式}
STR_SMDESC                                          {正常和REBUG模式之間切換。 }
STR_XMBOM                                           {XMB操作模式}
STR_XMBOMDESC                                       {零售和調試XMB之間切換。 }
STR_MENU                                            {調試菜單類型}
STR_MENUDESC                                        {CEX QA和DEX調試菜單之間進行切換。 }
STR_TOGCFW                                          {切換XMB CFW設置}
STR_TOGCFWDESC                                      {啟用或禁用XMB CFW設置v0.1a（MOD）}
STR_TOGCOB                                          {切換COBRA模式}
STR_TOGCOBDESC                                      {啟用或下次重新啟動禁用COBRA模式。 }
STR_TOGPS2                                          {切換PS2模擬器}
STR_TOGPS2DESC                                      {PS2Emu互換使用原裝PS2鴯鶓文件。 }
STR_TOGWM切换                                       {{ webMAN}
STR_TOGWMDESC                                       {啟用或下次重新啟動禁用集成webMAN。 }
STR_NORBG                                           {REBUG選擇功能不可用}
STR_NORBGDESC                                       {請安裝REBUG REX / D-REX固件訪問選擇功能。 }
STR_PATCHLV1                                        {LV1皮克/戳支持}
STR_PATCHLV1DESC                                    {補丁未使用系統調用LV1 182和183}
STR_LV2MEMPRO                                       {LV2內存保護}
STR_LV2MEMPRODESC                                   {上LV2修改補丁關機。 }
STR_HTAB                                            {HTAB映射帶寫保護}
STR_HTABDESC                                        {啟用或禁用保護HTAB映射。 }
STR_INDI                                            {訪問所有INDI信息管理器服務}
STR_INDIDESC                                        {啟用或禁用INDI訪問。 }
STR_EEPROM                                          {更新管理器EEPROM寫訪問}
STR_EEPROMDESC                                      {補丁更新管理器訪問EEPROM。 }
STR_DISPATCH                                        {調度管理訪問}
STR_DISPATCHDESC                                    {補丁調度管理訪問所有服務。 }
STR_ENCDEC                                          {允許ENCDEC ioctl命令0x85未}
STR_ENCDECDESC                                      {啟用ioctl命令0x85未}
STR_SYSMAN                                          {系統管理GameOS能力面膜}
STR_SYSMANDESC                                      {允許訪問所有系統管理服務。 }
STR_ALLPKG                                          {提取所有PKG類型}
STR_ALLPKGDESC                                      {允許更新管理器來提取所有PKG類型。 }
STR_LPAR                                            {中的任何LPAR回購節點完全訪問}
STR_LPARDESC                                        {允許創建，修改，刪除存儲庫節點。 }
STR_LV1SPE                                          {LV1完整存取MFC_SR1 SPE註冊}
STR_LV1SPEDESC                                      {允許所有位訪問寄存器。 }
STR_LV1DABR                                         {LV1訪問組數據斷點}
STR_LV1DABRDESC                                     {啟用與lv1_set_dabr LV1訪問}
STR_LV1GART                                         {LV1訪問GPU內存GART}
STR_LV1GARTDESC                                     {允許LV1使用4KB IO頁面大小。 }
STR_LV1KEYS                                         {存儲管理器ENCDEC鍵訪問}
STR_LV1KEYSDESC                                     {允許存儲管理器來清除ENCDEC鍵。 }
STR_LV1ACL                                          {跳過所有ACL檢查}
STR_LV1ACLDESC                                      {啟用ACL檢查所有存儲設備的跳躍。 }
STR_LV1GO                                           {初始的GuestOS裝載機}
STR_LV1GODESC                                       {啟用GameOS的GuestOS模式1}
STR_SWPLV2K                                         {交換LV2內核}
STR_SWPLV2KDESC                                     {零售和調試內核之間切換。 }
STR_REWTID                                          {重寫目標ID在Flash}
STR_REWTIDDESC                                      {轉換的PS3 CEX如果提供/ DEX有效閃光輸出/ eid_root_key。 }
STR_NOCEXDEX                                        {CEX / DEX功能不可用}
STR_NOCEXDEXDESC                                    {安裝REBUG REX版來訪問這些功能。 }
STR_SELECT                                          {：選擇}
STR_HOLDQUITREB                                     {：按住以退出並重啟}
STR_HOLDQUIT                                        {：按住以退出}
STR_FREEHDD                                         {硬盤空間}
STR_NUMFW                                           {PS3\xE2\x84\xA2 SYSTEM: 固件}
STR_IP                                              {IP地址}
STR_QUITXMB                                         {退出到XMB？ }
STR_CHANGEIDPSOK1                                   {產品成功應用於}
STR_CHANGEIDPSOK2                                   {更改LV2內存。\ n \ n當前目標ID設置為}
STR_CHANGEIDPSERROR                                 {同時尋找IDPS出錯}
STR_SWP2DEXOK                                       {LV2內核成功更改為DEX /調試。 }
STR_SWP2CEXOK                                       {LV2內核成功更改為CEX /零售。 }
STR_SWPERROR                                        {不兼容的固件版本或發生錯誤。 }
STR_NEEDRESTSYS                                     {系統需要重新啟動。按OK鍵重啟}
STR_WEIDERROR1                                      {錯誤訪問時發生閃}
STR_WEIDERROR2                                      {您提供的文件與您的系統兼容！ }
STR_WEIDRUSURE1                                     {你是即將更新您的PS3™地區/目標ID \ n \ NREGION /目標ID：！ }
STR_WEIDRUSURE2                                     {ARE YOU SURE？ }
STR_WEIDRUSURE3                                     {您將要改變你的PS3™地區/目標ID \ n當前ID：！ }
STR_WEIDRUSURE4                                     {新的ID：}
STR_WEIDRRUUSURE                                    {警告：\ n \ n此操作十分危險，應該進行只有當你有信心\ n \鈉- [RE YØ美üř電子！ ？ }
STR_WEIDOK1                                         {閃EID0區域覆蓋成功（192字節）。\ n \ n請退出到XMB，關閉和開啟系統！ }
STR_WEIDOK2                                         {閃EID0區域覆蓋成功（192字節）。\ n \ n要應用區域變化，請不干XMB，關閉和開啟系統！ }
STR_WEIDERROR3                                      {錯誤寫入閃存EID0！ }
STR_WEIDERROR4                                      {錯誤訪問FLASH設備！ }
STR_WTDMSG1                                         {您的固件和電流模式}
STR_WTDMSG2                                         {讓你傾倒eid_root_key。\ n您可以轉儲和DEX轉換為CEX，反之亦然使用此工具箱。\ n如果你有你的根密鑰放在/ dev_hdd0 /遊戲/ RBGTLBOX2 / USRDIR / eid_root_key，那麼你將現在選擇的歡迎。 }
STR_WTDMSG3                                         {如果你有/ dev_hdd0 /遊戲/ RBGTLBOX2 / USRDIR / eid_root_key比你一個選擇，現在迎接你的根密鑰。 }
STR_WTDMSG4                                         {發現eid_root_key，你想從自動轉換}
STR_WTDMSG5                                         {找到真正的DEX \ nCEX交換將區域ID更改為美國（的0x84）}
STR_WTDMSG6                                         {時發生錯誤。\ n \ n請驗證您的eid_root_key，您的密鑰可能已損壞或別人的}
